epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1304.73,0.98537,0.99633,0.99933,0.02675,0.000175146,0.000175146,0.000175146
2,2510.49,0.08567,0.998,0.99967,0.01292,0.000338914,0.000338914,0.000338914
3,3556.11,0.06187,0.99467,0.99967,0.01808,0.000491109,0.000491109,0.000491109
4,4520.91,0.05486,0.99967,0.99967,0.00251,0.000473926,0.000473926,0.000473926
5,5625.78,0.03268,0.997,0.99967,0.00678,0.000456568,0.000456568,0.000456568
6,6783.7,0.03574,0.99867,0.99967,0.00588,0.00043921,0.00043921,0.00043921
7,7763.49,0.02341,0.999,1,0.004,0.000421852,0.000421852,0.000421852
8,9071.54,0.01987,0.99967,1,0.00129,0.000404494,0.000404494,0.000404494
9,10974.8,0.01702,0.99867,0.99967,0.00358,0.000387136,0.000387136,0.000387136
10,12578.1,0.02225,0.99967,0.99967,0.0024,0.000369778,0.000369778,0.000369778
11,14200.8,0.01816,0.999,0.99967,0.00546,0.00035242,0.00035242,0.00035242
12,15834.5,0.01586,0.99867,0.99967,0.00525,0.000335062,0.000335062,0.000335062
13,36775.4,0.01233,0.999,0.99967,0.00319,0.000317704,0.000317704,0.000317704
14,38092.1,0.01126,0.99933,0.99967,0.00303,0.000300346,0.000300346,0.000300346
15,39413.6,0.01132,0.99933,1,0.00275,0.000282988,0.000282988,0.000282988
16,40724.7,0.01212,0.99933,0.99967,0.00421,0.00026563,0.00026563,0.00026563
17,42037.1,0.01228,0.999,0.99967,0.00365,0.000248272,0.000248272,0.000248272
18,43350.4,0.00909,0.99933,0.99967,0.00319,0.000230914,0.000230914,0.000230914
19,44648.8,0.00677,0.999,1,0.00349,0.000213556,0.000213556,0.000213556
20,46144.3,0.00756,0.99933,1,0.00309,0.000196198,0.000196198,0.000196198
21,47763.6,0.00592,0.99933,0.99967,0.00247,0.00017884,0.00017884,0.00017884
22,49379.7,0.00465,0.99933,0.99967,0.00239,0.000161482,0.000161482,0.000161482
23,50976.1,0.00396,0.99933,1,0.00147,0.000144124,0.000144124,0.000144124
24,52431.1,0.00331,0.99933,1,0.00216,0.000126766,0.000126766,0.000126766
25,53263.1,0.00414,0.99933,1,0.00162,0.000109408,0.000109408,0.000109408
26,54029.1,0.00401,0.99933,1,0.00219,9.205e-05,9.205e-05,9.205e-05
27,54657.7,0.00587,0.99933,1,0.0017,7.4692e-05,7.4692e-05,7.4692e-05
28,55307.1,0.00314,0.99933,1,0.00199,5.7334e-05,5.7334e-05,5.7334e-05
29,55947.8,0.00431,0.99967,0.99967,0.00196,3.9976e-05,3.9976e-05,3.9976e-05
30,56569.4,0.00274,0.99967,0.99967,0.00221,2.2618e-05,2.2618e-05,2.2618e-05
